timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
1294,2.42,-6.22,7.92,-0.07,0.04,-1.08
1301,2.45,-6.19,7.96,-0.07,0.04,-1.09
1308,2.41,-6.20,7.86,-0.08,0.04,-1.08
1316,2.46,-6.23,7.85,-0.08,0.04,-1.08
1323,2.41,-6.18,7.92,-0.08,0.04,-1.08
1331,2.42,-6.22,7.94,-0.07,0.04,-1.07
1338,2.48,-6.20,7.92,-0.08,0.04,-1.08
1346,2.49,-6.20,7.92,-0.08,0.04,-1.08
1353,2.49,-6.26,7.88,-0.08,0.04,-1.09
1361,2.47,-6.22,7.89,-0.07,0.04,-1.08
1370,2.46,-6.29,7.97,-0.08,0.04,-1.09
1377,2.44,-6.28,7.83,-0.08,0.04,-1.07
1384,2.41,-6.23,7.81,-0.07,0.04,-1.08
1392,2.48,-6.27,7.92,-0.08,0.04,-1.09
1400,2.49,-6.22,7.81,-0.07,0.04,-1.09
1407,2.46,-6.25,7.93,-0.07,0.04,-1.08
1415,2.42,-6.23,7.93,-0.08,0.04,-1.10
1421,2.47,-6.19,7.90,-0.08,0.04,-1.09
1428,2.52,-6.24,7.98,-0.08,0.04,-1.08
