timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
1023,2.46,-6.26,7.91,-0.08,0.04,-1.08
1030,2.45,-6.24,7.96,-0.07,0.04,-1.09
1037,2.48,-6.22,7.88,-0.07,0.04,-1.08
1043,2.43,-6.23,7.88,-0.08,0.04,-1.09
1050,2.49,-6.23,7.91,-0.08,0.04,-1.08
1059,2.41,-6.21,7.92,-0.08,0.04,-1.09
1066,2.52,-6.28,7.82,-0.07,0.04,-1.09
1074,2.49,-6.21,7.88,-0.08,0.04,-1.10
1081,2.47,-6.24,7.93,-0.08,0.04,-1.07
1089,2.48,-6.23,7.94,-0.08,0.04,-1.11
1097,2.49,-6.25,7.88,-0.08,0.04,-1.09
1105,2.47,-6.23,7.93,-0.08,0.04,-1.09
1113,2.49,-6.21,7.85,-0.08,0.04,-1.08
1120,2.51,-6.23,7.86,-0.07,0.04,-1.09
1126,2.41,-6.27,7.88,-0.07,0.04,-1.10
1132,2.53,-6.25,7.86,-0.07,0.04,-1.09
1139,2.48,-6.27,7.91,-0.07,0.04,-1.09
1145,2.46,-6.22,7.91,-0.07,0.04,-1.07
1153,2.43,-6.22,7.93,-0.08,0.04,-1.09
1160,2.43,-6.22,7.86,-0.08,0.04,-1.09
1166,2.42,-6.17,7.94,-0.07,0.04,-1.09
1172,2.42,-6.21,7.86,-0.08,0.04,-1.08
1179,2.44,-6.22,7.92,-0.08,0.04,-1.09
1185,2.44,-6.25,7.88,-0.08,0.04,-1.10
1192,2.40,-6.22,7.82,-0.08,0.04,-1.08
1199,2.45,-6.19,7.90,-0.08,0.04,-1.10
1206,2.48,-6.20,7.86,-0.08,0.04,-1.09
1213,2.49,-6.24,7.98,-0.07,0.04,-1.09
1219,2.44,-6.19,7.92,-0.08,0.04,-1.07
1226,2.44,-6.19,7.90,-0.08,0.04,-1.09
1232,2.44,-6.22,7.86,-0.08,0.04,-1.09
1238,2.48,-6.25,7.91,-0.08,0.04,-1.07
1244,2.49,-6.24,7.88,-0.08,0.04,-1.08
1251,2.56,-6.18,7.88,-0.08,0.04,-1.09
1258,2.47,-6.22,7.87,-0.07,0.04,-1.10
1264,2.54,-6.23,7.92,-0.08,0.04,-1.10
1271,2.48,-6.22,7.91,-0.07,0.04,-1.10
1277,2.44,-6.23,7.88,-0.08,0.04,-1.09
1283,2.46,-6.22,7.95,-0.08,0.04,-1.09
1290,2.46,-6.23,7.85,-0.08,0.04,-1.08
1296,2.48,-6.23,7.87,-0.08,0.04,-1.07
1303,2.50,-6.23,7.75,-0.08,0.04,-1.10
1311,2.50,-6.18,7.83,-0.08,0.04,-1.10
1319,2.47,-6.22,7.92,-0.07,0.04,-1.10
1327,2.41,-6.22,7.92,-0.07,0.04,-1.09
1334,2.54,-6.25,7.89,-0.08,0.04,-1.08
1341,2.55,-6.23,7.93,-0.08,0.04,-1.10
1349,2.50,-6.25,7.78,-0.08,0.04,-1.08
1356,2.43,-6.18,7.91,-0.08,0.04,-1.08
1364,2.49,-6.18,7.94,-0.08,0.04,-1.11
1370,2.51,-6.26,7.84,-0.08,0.04,-1.10
1376,2.48,-6.26,7.83,-0.08,0.04,-1.08
1384,2.44,-6.25,7.86,-0.07,0.04,-1.10
1391,2.49,-6.24,7.83,-0.08,0.04,-1.09
1399,2.51,-6.20,7.91,-0.07,0.04,-1.09
1407,2.45,-6.21,7.92,-0.08,0.04,-1.07
