timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
1117,2.39,-6.21,7.95,-0.08,0.04,-1.08
1125,2.44,-6.22,7.80,-0.08,0.04,-1.10
1132,2.47,-6.20,7.92,-0.08,0.04,-1.11
1140,2.51,-6.23,7.92,-0.08,0.04,-1.09
1147,2.46,-6.22,7.96,-0.07,0.04,-1.09
1154,2.49,-6.21,7.98,-0.08,0.04,-1.09
1162,2.52,-6.20,7.92,-0.08,0.04,-1.10
1171,2.49,-6.29,7.87,-0.08,0.04,-1.09
1178,2.47,-6.24,7.87,-0.08,0.04,-1.08
1186,2.46,-6.20,7.83,-0.08,0.04,-1.06
1194,2.47,-6.24,7.88,-0.08,0.04,-1.08
1202,2.46,-6.20,7.84,-0.08,0.04,-1.09
1210,2.49,-6.26,7.92,-0.07,0.04,-1.10
1218,2.47,-6.24,7.84,-0.07,0.04,-1.09
1225,2.43,-6.23,7.89,-0.08,0.04,-1.08
1233,2.48,-6.22,7.89,-0.08,0.04,-1.09
1240,2.46,-6.19,7.85,-0.08,0.04,-1.08
1246,2.45,-6.19,7.91,-0.07,0.05,-1.09
1253,2.49,-6.20,7.88,-0.08,0.04,-1.07
1260,2.48,-6.21,7.90,-0.08,0.04,-1.09
1267,2.45,-6.17,7.91,-0.07,0.04,-1.09
1276,2.45,-6.20,7.88,-0.07,0.04,-1.11
1284,2.46,-6.24,7.96,-0.08,0.04,-1.07
1291,2.45,-6.26,7.94,-0.07,0.04,-1.09
1299,2.49,-6.26,7.90,-0.08,0.04,-1.08
1307,2.50,-6.24,7.96,-0.08,0.04,-1.07
1315,2.41,-6.25,7.87,-0.08,0.04,-1.08
1322,2.46,-6.25,7.95,-0.07,0.04,-1.09
1330,2.44,-6.23,7.78,-0.08,0.04,-1.09
1337,2.49,-6.22,7.87,-0.07,0.04,-1.10
1344,2.42,-6.25,8.02,-0.07,0.04,-1.10
1351,2.48,-6.23,7.85,-0.08,0.04,-1.11
1358,2.49,-6.18,7.75,-0.08,0.05,-1.08
1365,2.47,-6.21,7.98,-0.08,0.04,-1.06
1372,2.40,-6.26,7.92,-0.08,0.04,-1.10
1379,2.53,-6.22,7.77,-0.08,0.04,-1.09
1386,2.38,-6.19,7.79,-0.07,0.04,-1.09
1393,2.52,-6.20,7.99,-0.07,0.04,-1.08
1400,2.47,-6.27,8.04,-0.07,0.04,-1.09
1407,2.49,-6.22,8.00,-0.08,0.04,-1.09
1414,2.43,-6.20,7.85,-0.08,0.05,-1.09
1422,2.49,-6.20,7.80,-0.08,0.04,-1.07
1429,2.49,-6.24,7.96,-0.08,0.04,-1.07
1437,2.45,-6.25,7.81,-0.08,0.04,-1.08
1444,2.48,-6.22,7.83,-0.08,0.04,-1.08
1451,2.43,-6.24,7.86,-0.08,0.04,-1.08
