timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
810,-1.28,3.34,1.42,-0.06,0.03,-1.06
819,-3.44,5.08,0.91,-0.02,0.25,-1.09
828,0.45,3.71,-5.85,-0.06,0.09,-1.08
837,-1.25,5.47,-4.44,-0.11,-0.08,-1.10
846,-3.13,5.87,2.84,-0.12,-0.07,-1.09
855,-1.56,5.63,0.77,-0.02,0.17,-1.07
864,-0.54,4.60,-2.85,-0.01,0.17,-1.08
873,-1.33,4.52,-4.77,-0.11,-0.01,-1.10
882,0.02,3.29,-1.78,-0.12,-0.13,-1.10
891,-3.04,4.97,3.64,-0.07,0.05,-1.08
900,-0.89,4.03,-0.16,-0.03,0.21,-1.09
909,0.84,4.16,-6.04,-0.05,0.07,-1.08
918,-1.05,5.00,-2.07,-0.13,-0.11,-1.11
927,-1.45,5.65,1.89,-0.11,-0.03,-1.10
936,0.44,2.55,0.60,-0.02,0.17,-1.07
945,-1.11,4.36,-2.13,-0.04,0.16,-1.08
954,0.62,3.36,-5.27,-0.11,-0.03,-1.11
963,-0.23,3.07,-0.27,-0.12,-0.13,-1.08
972,-3.54,5.12,4.98,-0.09,0.09,-1.10
981,0.80,3.75,-1.62,-0.03,0.19,-1.07
990,0.46,4.86,-5.29,-0.06,0.04,-1.09
999,0.21,3.64,-2.27,-0.15,-0.14,-1.10
1008,0.46,2.87,0.74,-0.09,-0.00,-1.10
1017,-0.91,2.76,2.32,-0.04,0.14,-1.07
1026,-1.14,3.87,-2.80,-0.06,0.15,-1.10
1035,2.09,1.87,-6.06,-0.11,-0.11,-1.07
1044,-1.56,3.02,0.91,-0.12,-0.07,-1.10
1053,-1.06,3.77,2.73,-0.07,0.10,-1.09
1062,0.54,4.56,-2.99,-0.02,0.18,-1.08
1071,-1.25,5.56,-4.48,-0.09,0.01,-1.09
1080,-0.33,4.59,-2.30,-0.13,-0.12,-1.10
1089,-0.10,3.19,1.45,-0.07,0.00,-1.07
1098,-1.87,3.72,2.02,-0.03,0.20,-1.09
1107,-0.62,3.11,-4.33,-0.06,0.12,-1.10
1116,0.97,2.29,-4.85,-0.11,-0.12,-1.08
1125,-2.00,3.27,1.61,-0.13,-0.05,-1.11
1134,-0.86,4.21,1.73,-0.04,0.14,-1.08
1143,-0.51,5.07,-3.63,-0.01,0.19,-1.07
1152,-2.08,5.14,-4.02,-0.11,-0.01,-1.11
1161,-0.57,4.71,-2.60,-0.12,-0.09,-1.10
1170,-1.61,4.04,1.64,-0.06,0.04,-1.06
1179,-3.16,4.73,1.50,-0.03,0.24,-1.09
1188,0.67,3.26,-5.93,-0.05,0.09,-1.08
1197,-0.80,4.13,-4.42,-0.11,-0.08,-1.09
1206,-2.38,6.52,2.47,-0.13,-0.05,-1.10
1215,0.34,2.98,0.05,-0.02,0.16,-1.08
1224,-1.73,4.85,-1.67,-0.02,0.17,-1.07
1233,-0.61,4.97,-4.88,-0.12,-0.01,-1.11
1242,0.52,3.14,-1.04,-0.12,-0.12,-1.10
1251,-4.82,5.62,5.45,-0.07,0.05,-1.09
1260,0.40,4.19,-1.28,-0.03,0.22,-1.10
1269,1.29,4.24,-6.31,-0.05,0.06,-1.09
1278,-1.03,4.33,-1.16,-0.13,-0.11,-1.09
1287,-0.73,4.82,1.23,-0.11,-0.02,-1.11
1296,0.84,1.58,1.25,-0.01,0.17,-1.06
1305,-1.59,4.40,-1.97,-0.04,0.17,-1.09
1314,1.53,2.91,-5.63,-0.11,-0.03,-1.11
1323,-0.60,3.71,0.08,-0.12,-0.13,-1.09
1332,-1.23,3.98,3.59,-0.08,0.12,-1.10
1341,0.70,4.57,-2.23,-0.03,0.19,-1.09
1350,0.13,4.96,-4.93,-0.06,0.04,-1.07
1359,-0.08,3.71,-1.83,-0.14,-0.14,-1.10
1368,1.06,1.90,1.28,-0.10,0.01,-1.10
1377,-1.44,3.15,2.35,-0.04,0.13,-1.06
1386,-1.32,3.58,-3.04,-0.06,0.15,-1.10
1395,1.42,2.72,-5.39,-0.12,-0.11,-1.08
1404,-1.27,2.84,0.92,-0.12,-0.07,-1.10
1413,-0.93,3.38,2.51,-0.07,0.09,-1.09
1422,0.12,4.73,-3.43,-0.02,0.19,-1.08
1431,-1.07,5.19,-4.57,-0.08,-0.00,-1.07
1440,-1.40,4.93,-2.22,-0.14,-0.10,-1.11
1449,-1.12,3.30,1.81,-0.08,-0.01,-1.08
1458,-2.48,4.79,0.72,-0.03,0.21,-1.09
1467,-0.11,3.29,-5.29,-0.07,0.12,-1.10
1476,-0.78,5.11,-4.40,-0.11,-0.08,-1.09
1485,-1.55,3.99,1.49,-0.12,-0.08,-1.10
1494,-1.28,5.51,1.25,-0.03,0.16,-1.07
1503,-1.14,4.94,-2.91,-0.01,0.18,-1.07
1512,-1.51,4.67,-4.56,-0.10,-0.00,-1.10
1521,-0.21,4.01,-2.50,-0.12,-0.10,-1.09
1530,-2.10,4.15,2.05,-0.06,0.05,-1.09
1539,-2.14,4.27,0.56,-0.02,0.24,-1.09
1548,1.02,3.04,-6.07,-0.05,0.10,-1.08
1557,-1.69,5.44,-3.16,-0.12,-0.07,-1.10
1566,-1.99,6.06,2.57,-0.12,-0.07,-1.10
1575,-0.39,4.52,0.86,-0.02,0.16,-1.07
1584,-1.26,5.01,-2.09,-0.03,0.17,-1.07
1593,-0.79,4.94,-5.09,-0.11,-0.01,-1.10
1602,0.26,2.86,-1.05,-0.12,-0.14,-1.10
1611,-3.70,4.72,4.71,-0.08,0.07,-1.10
1620,0.48,3.51,-1.12,-0.03,0.21,-1.08
1629,1.20,3.89,-6.04,-0.05,0.06,-1.08
1638,-1.49,4.59,-1.27,-0.14,-0.11,-1.10
1647,-0.33,4.55,1.16,-0.11,-0.02,-1.09
1656,0.66,2.58,0.88,-0.02,0.16,-1.06
1665,-1.10,4.40,-1.95,-0.05,0.16,-1.08
1674,0.96,4.02,-5.43,-0.10,-0.04,-1.09
1683,-0.16,3.05,0.11,-0.12,-0.14,-1.08
1692,-2.72,4.67,4.29,-0.09,0.11,-1.11
1701,0.92,3.70,-2.20,-0.03,0.18,-1.07
1710,0.13,4.84,-4.96,-0.06,0.03,-1.07
1719,-0.05,3.83,-1.57,-0.15,-0.14,-1.10
1728,1.21,1.88,0.65,-0.09,-0.00,-1.08
1737,-1.75,3.34,2.36,-0.03,0.15,-1.07
1746,-1.43,4.19,-2.89,-0.07,0.14,-1.10
1755,2.18,2.63,-6.11,-0.11,-0.11,-1.09
1764,-1.56,3.00,1.29,-0.12,-0.07,-1.10
1773,-1.03,3.73,2.79,-0.07,0.11,-1.09
1782,1.09,3.83,-3.78,-0.01,0.19,-1.06
1791,-1.24,4.96,-4.42,-0.09,0.01,-1.09
